date,page_views,unique_visitors,bounce_rate,avg_session_duration_sec,conversions,channel
2025-01-01,30038,17874,0.36,314,442,Social
2025-01-02,30315,11638,0.314,310,278,Organic
2025-01-03,4676,18696,0.331,193,263,Social
2025-01-04,3426,16435,0.7,253,139,Organic
2025-01-05,25473,13645,0.457,175,175,Organic
2025-01-06,3962,989,0.456,59,214,Paid
2025-01-07,30943,12248,0.618,74,240,Social
2025-01-08,1859,19775,0.285,500,426,Organic
2025-01-09,45816,4016,0.468,63,425,Paid
2025-01-10,5138,6910,0.436,456,190,Email
2025-01-11,36192,553,0.528,250,421,Paid
2025-01-12,26640,19459,0.75,563,368,Paid
2025-01-13,11409,17499,0.623,396,447,Organic
2025-01-14,5017,6444,0.419,579,99,Direct
2025-01-15,11451,7904,0.655,145,382,Direct
2025-01-16,29327,1454,0.294,268,15,Direct
2025-01-17,11278,11125,0.217,364,72,Paid
2025-01-18,25944,2129,0.312,470,383,Organic
2025-01-19,44764,11473,0.387,177,214,Social
2025-01-20,2134,7359,0.481,38,200,Paid
2025-01-21,31131,9341,0.538,317,373,Paid
2025-01-22,38887,11039,0.701,417,102,Organic
2025-01-23,39462,13182,0.48,79,97,Email
2025-01-24,23520,3778,0.476,546,476,Paid
2025-01-25,22869,19445,0.228,307,26,Email
2025-01-26,37932,7039,0.219,329,454,Email
2025-01-27,6039,17254,0.503,164,176,Direct
2025-01-28,22281,1357,0.441,176,387,Organic
2025-01-29,48399,5386,0.662,519,138,Email
2025-01-30,11442,13445,0.288,507,430,Organic
2025-01-31,9252,7985,0.214,188,29,Direct
2025-02-01,28586,14180,0.447,413,189,Organic
2025-02-02,18568,17267,0.331,192,89,Paid
2025-02-03,21810,14897,0.227,470,59,Email
2025-02-04,2551,11244,0.599,218,255,Organic
2025-02-05,13625,4834,0.261,444,148,Social
2025-02-06,35397,19609,0.535,368,355,Organic
2025-02-07,27249,12726,0.355,210,402,Email
2025-02-08,2361,13940,0.295,317,171,Direct
2025-02-09,27149,15520,0.409,216,416,Direct
2025-02-10,5370,4751,0.641,167,228,Email
2025-02-11,6283,12680,0.416,159,224,Paid
2025-02-12,8610,16640,0.613,223,183,Paid
2025-02-13,44326,1422,0.269,345,123,Direct
2025-02-14,15924,19799,0.625,173,437,Direct
2025-02-15,48607,8457,0.33,45,269,Email
2025-02-16,45717,19930,0.573,331,446,Paid
2025-02-17,11626,16296,0.511,452,433,Direct
2025-02-18,35761,1730,0.711,274,154,Paid
2025-02-19,1869,11127,0.413,136,420,Direct
2025-02-20,32552,10506,0.236,117,457,Organic
2025-02-21,2014,5433,0.211,158,219,Social
2025-02-22,11103,14795,0.655,370,201,Organic
2025-02-23,17986,16877,0.489,33,46,Direct
2025-02-24,45781,703,0.626,356,57,Social
2025-02-25,31471,17044,0.329,439,484,Social
2025-02-26,34458,16399,0.39,335,447,Direct
2025-02-27,26069,4248,0.217,254,334,Direct
2025-02-28,17873,7218,0.729,377,255,Paid
2025-03-01,24248,19465,0.567,350,299,Direct
2025-03-02,24624,1593,0.713,588,382,Email
2025-03-03,44516,15728,0.346,210,275,Direct
2025-03-04,30061,16534,0.536,415,459,Email
2025-03-05,25170,6210,0.573,137,417,Direct
2025-03-06,9024,10232,0.375,560,127,Paid
2025-03-07,17678,19759,0.666,439,371,Email
2025-03-08,39256,3691,0.721,325,391,Organic
2025-03-09,21411,18721,0.687,200,343,Email
2025-03-10,44803,1189,0.606,360,270,Paid
2025-03-11,20296,2603,0.353,522,352,Email
2025-03-12,27293,865,0.355,224,33,Direct
2025-03-13,28172,14510,0.73,41,467,Direct
2025-03-14,22128,12267,0.206,224,39,Paid
2025-03-15,19257,16603,0.594,519,10,Social
2025-03-16,13855,13242,0.588,211,400,Direct
2025-03-17,20642,12891,0.542,345,115,Organic
2025-03-18,36585,4672,0.745,59,298,Paid
2025-03-19,21025,16123,0.372,125,81,Email
2025-03-20,5458,2878,0.387,410,353,Email
2025-03-21,6307,18089,0.243,473,151,Organic
2025-03-22,42701,12531,0.444,327,71,Direct
2025-03-23,19425,6169,0.344,390,396,Paid
2025-03-24,44427,3235,0.389,403,12,Organic
2025-03-25,29273,10367,0.659,583,126,Direct
2025-03-26,39506,8990,0.715,332,344,Paid
2025-03-27,6668,1456,0.302,450,179,Email
2025-03-28,26934,9806,0.405,275,392,Paid
2025-03-29,48195,7123,0.711,266,183,Social
2025-03-30,8697,15408,0.234,563,89,Paid
2025-03-31,25417,18358,0.251,214,455,Social
2025-04-01,17446,4960,0.29,497,49,Paid
2025-04-02,41597,14486,0.527,392,140,Social
2025-04-03,11751,13138,0.283,312,347,Email
2025-04-04,47218,19712,0.732,582,20,Direct
2025-04-05,8352,3350,0.446,365,337,Social
2025-04-06,14516,13799,0.476,191,199,Social
2025-04-07,24299,11198,0.336,189,13,Email
2025-04-08,32957,19848,0.459,503,320,Social
2025-04-09,29927,5094,0.564,351,338,Organic
2025-04-10,42094,14782,0.613,41,337,Email
2025-04-11,37412,16785,0.615,453,331,Organic
2025-04-12,30493,14834,0.518,102,19,Email
2025-04-13,27711,7144,0.697,230,331,Social
2025-04-14,9003,3350,0.65,551,106,Organic
2025-04-15,32707,15433,0.616,534,230,Social
2025-04-16,4278,665,0.231,68,429,Email
2025-04-17,8296,11201,0.204,89,282,Social
2025-04-18,26398,1419,0.317,350,412,Organic
2025-04-19,36842,8805,0.565,464,117,Organic
2025-04-20,14261,17875,0.426,437,489,Social
2025-04-21,12173,16215,0.421,415,432,Paid
2025-04-22,31449,4339,0.687,598,5,Email
2025-04-23,42080,18142,0.693,107,270,Email
2025-04-24,2637,12118,0.7,223,495,Social
2025-04-25,32781,14019,0.373,314,212,Paid
2025-04-26,14652,11276,0.58,556,114,Organic
2025-04-27,6103,567,0.349,553,204,Direct
